BR,En,Hun
mensagens,messages,üzenetek
inacreditável,unbelievable,hihetetlen
morgan,Morgan,Morgan
ossos,bones,csontok
mantém,keeps,tart
passaram,They passed,Elmentek
falava,spoke,beszéltem
ligações,Connections,Kapcsolatok
bebendo,drinking,ivás
bebidas,drinks,ital
cavalheiro,knight,lovag
big,Big,Nagy
x,X,x
compras,shopping,bevásárlás
armadilha,trap,csapda
jenny,Jenny,Jenny
divórcio,divorce,válás
casada,married,házas
ministro,minister,miniszter
ouvidos,ears,fülek
especiais,special,különleges
fatos,facts,tények
mínimo,Minimum,Minimális
selvagem,wild,vad
pedras,stones,kövek
pássaro,bird,madár
acharam,found,megtalált
jesse,Jesse,Jesse
cantando,singing,éneklés
evidências,evidence,bizonyíték
percebeu,realized,megvalósult
deixaria,would leave,elhagyja
levado,levied,kivetett
superior,higher,magasabb
bilhete,ticket,jegy
alemanha,Germany,Németország
peguem,caught,elkapott
calmo,calm,nyugodt
amanda,Amanda,Amanda
rato,mouse,egér
desculpem,sorry,sajnálom
traseiro,rear,hátulsó
divertindo,entertaining,szórakoztató
digamos,let's say,mondjuk
próprias,own,saját
assumir,to assume,feltételezni
pára,for,-ra
carga,charge,díj
pouquinho,a little,egy kis
vaca,cow,tehén
caça,hunting,vadászat
loucos,crazy,őrült
receio,fear,félelem
podíamos,we could,tudnánk
roubado,stolen,lopott
solta,drop,csepp
levei,I took,elvettem
bobagem,nonsense,ostobaság
tocando,playing,játék
irmãs,sisters,nővérek
fred,Fred,Fredes
negros,black,fekete
período,period,időszak
karen,karen,karen
guardar,save,megment
treinamento,training,kiképzés
garganta,throat,torok
pagamento,payment,fizetés
terem,have,van
bruxa,witch,boszorkány
doces,candy,cukorka
marinha,navy,haditengerészet
tarefa,task,feladat
alemão,German,német
condição,condition,feltétel
entrega,delivery,kézbesítés
iorque,york,York
dama,lady,hölgy
sabiam,knew,tudta
acontecerá,will happen,meg fog történni
cem,hundred,száz
recompensa,reward,jutalom
maravilha,wonder,csoda
maggie,maggie,mágikus
músicas,songs,dalok
limites,Limits,Korlátok
aparência,appearance,kinézet
cruel,cruel,kegyetlen
is,is,az
adora,adore,rajong
espelho,mirror,tükör
paixão,passion,szenvedély
poderemos,we can,tudunk
principalmente,mainly,főként
céus,heaven,menny
haja,squeal,visítás
julie,Julie,Julie
areia,sand,homok
página,page,oldal
malas,luggage,poggyász
escrevi,I wrote,írtam
relaxar,to relax,kikapcsolódni
caindo,falling down,leesik
quadro,frame,keret
estúdio,studio,stúdió
voto,vote,szavazás
cozinhar,to cook,főzni
conseguem,get,kap
baixa,low,alacsony
pareço,look,néz
senso,sense,érzék
uniforme,uniform,egyenruha
abriu,opened,nyitott
largue,drop it,dobd el
victor,Victor,Győztes
adorei,I loved,szerettem
cofre,safe,biztonságos
perde,loses,vesztes
tento,attentive,figyelmes
chateado,upset,szomorú
dividir,to divide,"elosztani, megosztani"
certas,right,jobb
abaixe,lame,béna
cura,cure,gyógymód
defender,defend,védekez
remédio,remedy,jogorvoslat
sabes,sake,kedvéért
urso,bear,medve
leu,leu,Leu
porão,basement,pince
hank,Hank,Gombolyag
pede,asks,- kérdezi
aprendeu,Learned,Tanult
ambulância,ambulance,mentőautó
levará,lead to,vezet
quiserem,want,akar
honestamente,honestly,őszintén
perdoe,forgive,megbocsát
escuridão,darkness,sötétség
agência,agency,ügynökség
academia,academy,akadémia
vila,village,falu
viria,would come,jönne
equipamento,equipment,felszerelés
passos,steps,lépések
vizinhos,neighbors,szomszédok
peças,parts,alkatrészek
criatura,creature,teremtmény
diretamente,directly,közvetlenül
destes,of these,Ezeknek a
jogada,play,játék
marcas,marks,jelek
acordado,awake,ébren
canal,channel,csatorna
terminamos,We finished,Befejeztük
leia,read,olvas
possibilidade,possibility,lehetőség
incluindo,including,beleértve
terminei,I finished,befejeztem
legais,cool,menő
ande,wave,hullám
aluguel,rent,bérlés
papéis,roles,szerepek
garagem,garage,garázs
jogue,play it,játszd
tiros,shot,lövés
governador,governor,kormányzó
seres,beings,lények
morra,die,meghal
artigo,article,cikk
sorvete,ice cream,jégkrém
compromisso,commitment,elkötelezettség
vivem,live,élő
aposta,bet,tét
usam,Use,Használat
sopa,soup,leves
ideias,ideas,ötletek
educação,education,oktatás
facilmente,easily,könnyen
acusação,indictment,vádirat
saudável,healthy,egészséges
oficiais,officers,tisztviselők
chuck,Chuck,Dugasz
aliança,alliance,szövetség
bairro,neighborhood,szomszédság
causar,cause,ok
oceano,ocean,óceán
dom,Sun,Nap
pobres,poor,szegény
tesouro,treasure,kincs
jogador,player,játékos
donna,Donna,Donna
áfrica,Africa,Afrika
pacote,package,csomag
leis,laws,törvény
cia,cia,CIA
criminoso,criminal,Bűnügyi
pensamento,thought,gondolat
americana,American,Amerikai
gasolina,Gasoline,Benzin
diário,daily,napi
vírus,virus,vírus
barry,Barry,Barry
sexta,Friday,péntek
jones,Jones,Jones
estragar,to spoil,elrontani
acabaram,finished,befejezett
botão,button,gomb
convencer,to convince,meggyőzni
hmm,Hmm,Hmm
tribo,tribe,törzs
acertar,to hit,megütni
vidro,glass,üveg
ilegal,illegal,illegális
vencedor,winner,győztes
enganar,to deceive,becsapni
superar,overcome,legyőz
gordo,fat,zsír
federal,federal,szövetségi
prefere,prefers,kedveli
houver,any,Bármi
reserva,reservation,foglalás
cuidando,Caring,Gondoskodó
rick,Rick,Rick
motivos,reasons,okok
más,but,de
bicicleta,bicycle,kerékpár
ouço,I hear,hallom
adiante,forward,előre
alarme,alarm,riasztás
conheça,know,tud
entenda,understand,megért
atitude,attitude,hozzáállás
índia,India,India
deixam,Leave,Elhagy
feio,ugly,csúnya
vire,turn,fordulat
all,all,minden
mudei,I changed,megváltoztam
custa,cost,költség
excelência,excellence,kiválóság
assistindo,attending,résztvevő
rabo,tail,farok
prometi,promised,igért
mina,mine,enyém
hollywood,Hollywood,Hollywood
tirei,took,vett
pensamentos,thoughts,gondolatok
lendo,reading,olvasás
lados,sides,oldal
julia,Julia,Julia
verei,I will see,látni fogom
disposto,willing,hajlandó
fase,phase,fázis
colégio,school,iskola
ferro,iron,Vas
ouviram,listened to,hallgatott
disco,disco,disco
desastre,disaster,katasztrófa
acreditam,believe,hinni
so,only,csak
batendo,beating,verés
partida,match,mérkőzés
campeão,champion,bajnok
salão,Hall,előszoba
cópia,copy,másolat
hitler,hitler,Hitler
babá,nanny,dajka
fechada,closed,zárva
noivo,groom,vőlegény
deixo,let,enged
devesse,it should,kellene
fuga,escape,menekülni
falado,spoken,beszélt
ódio,hatred,gyűlölet
explicação,explanation,magyarázat
aldeia,village,falu
cuida,takes care,gondoskodik
possam,can,tud
coincidência,coincidence,véletlen egybeesés
abby,Abby,Abby
física,physical,fizikai
stan,stan,stan
ouçam,listen,hallgat
escada,ladder,létra
we,we,mi
love,love,szerelem
bebe,baby,baba
suba,climb,mászik
torta,pie,pite
olhou,He looked,Nézett
respire,breathe,lélegzik
álcool,alcohol,alkohol
açúcar,sugar,cukor
câmara,chamber,kamra
infância,infancy,csecsemőkor
veneno,poison,méreg
st,ST,UTCA
corta,cut,vágott
uísque,whiskey,whisky
meritíssimo,very merit,nagyon érdemes
fugindo,running away,menekül
paciência,patience,türelem
brava,brave,bátor
c,w,w
engano,mistake,hiba
dorme,sleeps,alszik
assassinos,Murderers,Gyilkos
procure,look,néz
mato,Bush,Bokor
pulso,pulse,impulzus
lady,lady,hölgy
esforço,effort,erőfeszítés
brancos,whites,fehérek
mudando,change,változás
ficaremos,we will stay,maradni fogunk
cobertura,roof,tető
explica,explain,elmagyaráz
decisões,decisions,döntések
assuntos,matters,számít
horário,time,idő
quartos,bedrooms,hálószobák
mesmas,same,azonos
lábios,lips,ajkak
sombra,shadow,árnyék
jackie,jackie,jackie
cego,blind,vak
quilômetros,miles,mérföld
ricos,rich,gazdag
milhas,miles,mérföld
assustado,scared,megrémült
queríamos,we wanted,mi akartuk
garotinha,little girl,kislány
escutem,listen,hallgat
reputação,reputation,hírnév
baseado,based,alapú
reação,reaction,reakció
acusações,accusations,vádemelés
alunos,students,diákok
habilidade,ability,képesség
mágico,Magic,varázslat
locais,places,hely
dúvidas,doubts,kételkedés
mistério,mystery,rejtély
péssimo,terrible,szörnyű
quantidade,amount,összeg
pular,to jump,ugrani
olhei,I looked,Megnéztem
tentamos,We try,Próbáljuk
teríamos,we would have,Megkapnánk
festas,parties,a felek
poucas,few,kevés
declaração,declaration,nyilatkozat
adivinhar,guess,Találd ki
imagina,you're welcome,szívesen
esquecido,forgotten,elfelejtett
secreta,secret,titok
obra,constructions,konstrukciók
perdida,lost,elveszett
texas,Texas,Texas
paraíso,Paradise,paradicsom
greg,Greg,Greg
vejamos,Let's see,Lássuk
biblioteca,library,könyvtár
advogados,lawyers,ügyvédek
sara,Sara,Sara
desaparecer,to vanish,eltűnni
your,Yours,A tiéd
região,region,vidék
bastardo,bastard,fattyú
superfície,surface,felület
telhado,roof,tető
permite,allows,lehetővé tesz
linhas,lines,vonal
prostituta,prostitute,prostituált
desligue,disconnect,leválaszt
combate,combat,harc
clínica,clinic,klinika
cheira,smells,szagok
torno,latter,utóbbi
elevador,elevator,lift
vegas,Vegas,Vegas
compra,purchase,Vásárlás
entendendo,understanding,megértés
patrick,Patrick,Patrick
howard,Howard,Húgyos
cobra,snake,kígyó
ferida,wound,seb
portão,gate,kapu
nação,nation,nemzet
transporte,transport,szállítás
formas,forms,formák
importância,importance,fontosság
pintura,painting,festmény
reais,real,igazi
ciúmes,jealousy,féltékenység
fria,cold,hideg
transformar,to transform,átváltoztatni
casou,marry,feleségül vesz
tocou,rang,csengetett
popular,popular,népszerű
terras,lands,föld
crise,crisis,válság
proposta,proposal,javaslat
cabeças,head,fej
n,n,n
participar,to participate,résztvenni
saberá,will know,tudni fogja
queimar,burn,éget
extremamente,extremely,rendkívül
seriam,it would be,lenne
cela,cell,sejt
molho,sauce,szósz
conseguiram,achieved,elért
johnson,Johnson,Johnson
katie,katie,Katie
metal,metal,fém
molly,Molly,Molly
paredes,walls,falak
ambiente,environment,környezet
resgate,rescue,mentés
habilidades,skills,készség
dean,Dean,Dékán
fortuna,fortune,szerencse
tyler,Tyler,Tyler
lágrimas,tears,könnyek
vais,vais,vais
seguros,insurance,biztosítás
burro,dumb,néma
terno,suit,öltöny
piores,worse,rosszabb
chegue,arrive,megérkezik
park,park,park
macaco,monkey,majom
salário,wage,bér
ache,ache,fájdalom
dragão,Dragon,Sárkány
estacionamento,parking,parkolás
usava,wore,viselt
usei,I used,használtam
entregue,delivered,kiszállított
lembre,remind,emlékeztet
teriam,would have,lenne
depósito,deposit,letét
literalmente,literally,szó szerint
apaixonada,passionate,szenvedélyes
brown,Brown,Barna
deviam,they should,kellene
livres,free,ingyenes
incomoda,bother,zavar
helen,Helen,Helen
senador,senator,szenátor
cometeu,committed,elkötelezett
amém,amen,ámen
lily,Lily,Liliom
trabalhei,I worked,dolgoztam
gordon,gordon,Gordon
morrido,died,meghalt
city,city,város
preocupação,concern,vonatkozik
fumaça,smoke,füst
imaginação,imagination,képzelet
robin,Robin,Vörösbegy
certos,right,jobb
médio,average,átlagos
moto,motorcycle,motorbicikli
sessão,session,ülés
goste,like,mint
judeus,Jews,Zsidók
audiência,court hearing,bírósági tárgyalás
põe,put,elhelyez
saímos,we left,elmentünk
peixes,fish,hal
alcance,range,hatótávolság
nadar,swim,úszás
tripulação,crew,legénység
brigar,to fight,harcolni
terapia,therapy,terápia
termina,ends,véget ér
sal,salt,só
naturalmente,naturally,természetesen
enganado,mistaken,téves
acalmar,to calm down,lenyugodni
caixas,boxes,dobozok
glória,glory,dicsőség
mac,Mac,MAC
opções,options,lehetőségek
tropas,troops,csapatok
irmos,we go,megyünk
red,Red,Piros
eis,here,itt
mães,mothers,anyák
garanto,I guarantee,garantálom
alimentar,to feed,etetni
bruce,Bruce,Bruce
terry,terry,tompa
curto,short,rövid
pó,dust,por
michelle,Michelle,Michelle
romântico,romantic,romantikus
orgulhosa,proud,büszke
favorita,favorite,kedvenc
votar,vote,szavazás
clima,climate,éghajlat
palácio,palace,palota
recado,message,üzenet
prisioneiros,prisoners,foglyok
feitos,deeds,cselekedetek
pôs,put,elhelyez
rebecca,Rebecca,Tündér
medicina,medicine,gyógyszer
ganho,gain,nyereség
dona,owner,tulajdonos
chamamos,We call,Hívjuk
mencionou,mentioned,említett
templo,Temple,Templom
aproveitar,to enjoy,élvezni
ritmo,rhythm,ritmus
amamos,We love,Szeretünk
relações,relations,kapcsolatok
barato,cheap,olcsó
primavera,spring,tavaszi
dava,Dava,Dava
eh,Eh,Eh
especialista,specialist,szakember
aliás,indeed,valóban
abrigo,shelter,menedék
doug,Doug,Doug
histórico,historic,történelmi
museu,museum,múzeum
carlos,Carlos,Carlos
anne,anne,Anne
joelhos,knee,térd
dirá,will say,azt fogja mondani
assalto,assault,támadás
edifício,building,épület
acabe,Ahab,Héja
carregar,to load,tölteni
andrew,Andrew,András
conseguiria,could get,kaphat
sally,Sally,Kirohanás
sofrimento,Suffering,Szenvedő
convidou,has invited,meghívta
acusado,accused,vádlott
dylan,Dylan,Dylan
criado,servant,szolgáló
mudanças,changes,változtatások
infeliz,unhappy,boldogtalan
poderei,I can,Meg tudom csinálni
chamei,chamei,chamei
jamie,Jamie,Jamie
estudante,student,diák
jordan,Jordan,Jordánia
ator,actor,színész
teto,roof,tető
bombas,bombs,bombák
divisão,division,osztály
aumentar,increase,növekedés
carol,Carol,Ének
nathan,Nathan,Nathan
ouvimos,we hear,hallunk
ross,Ross,Ross
jay,Jay,Jay
secretária,secretary,titkár
danos,damage,kár
acabo,gap,rés
queres,want,akar
atraso,delay,késleltetés
partiu,left,bal
avise,warn,figyelmeztet
matéria,matter,ügy
lembranças,memories,emlékek
onda,wave,hullám
sofrer,to suffer,szenvedni
senta,scent,illat
remédios,medicines,gyógyszerek
barriga,stomach,gyomor
king,King,király
be,she,ő
serviços,services,szolgáltatás
lucas,Lucas,Lucas
almoçar,to have lunch,ebédelni
território,territory,terület
importar,import,behozatal
circunstâncias,circumstances,körülmények
raça,race,verseny
retorno,return,Visszatérés
perdoar,to forgive,megbocsátani
cruz,cross,kereszt
vizinho,neighbor,szomszéd
falha,failure,kudarc
farão,Pharaoh,fáraó
deixamos,We leave,Elmegyünk
jornada,journey,utazás
pássaros,birds,madarak
atraente,attractive,vonzó
chateada,upset,szomorú
lobo,Wolf,Farkas
romance,romance,románc
pura,pure,tiszta
peitos,breasts,mellek
provável,likely,valószínűleg
delicioso,delicious,finom
estudo,study,tanulmány
autoridade,authority,hatóság
doutora,doctor,orvos
podiam,they could,ők tudnák
atacou,attacked,megtámadott
assustada,scared,megrémült
segurando,holding,holding
febre,fever,láz
convite,invitation,meghívás
sugiro,sugar,cukor
união,unity,egység
fantasmas,ghost,szellem
investigar,investigate,kivizsgál
parker,parker,Parker
agindo,acting,ható
capazes,capable,képes
justin,Justin,Justin
sentimos,we feel,érezzük
machucou,did it hurt,fájt
voando,flying,repülő
tela,screen,képernyő
digam,say,mond
soltar,release,kiadás
compartilhar,to share,megosztani
virgem,virgin,szűz
íamos,we are,mi vagyunk
colar,to paste,beilleszteni
ihe,yhe,yhe
moral,moral,erkölcsi
nessas,in those,azokban
lorde,Lord,Lord
moro,mourn,gyászol
papo,chat,csevegés
correio,mail,levél
saudades,longing,vágyakozás
idéias,ideas,ötletek
camarada,comrade,elvtárs
malditos,nasty,csúnya
cultura,culture,kultúra
cresceu,grown up,felnőni
prisioneiro,prisoner,Rab
distante,distant,távoli
acompanhar,to accompany,elkísérni
organização,organization,szervezet
re,re,újra
assassinado,murdered,meggyilkolt
betty,Betty,Betty
veículo,vehicle,jármű
espacial,spatial,térbeli
cores,colors,színek
maconha,marihuana,marihuána
sanduíche,sandwich,szendvics
esquisito,weird,furcsa
revolução,revolution,forradalom
francisco,Francis,Francis
temperatura,temperature,hőfok
fio,wire,huzal
tivessem,have,van
resta,remains,maradványok
mínima,minimum,minimális
champanhe,champagne,pezsgő
marcus,Marcus,Marcus
colocando,putting,elhelyezés
go,GO,MEGY
top,top,felső
máscara,mask,maszk
corações,hearts,szív
planejando,planning,tervezés
perca,losing,vesztes
disponível,available,elérhető
bilhões,billion,"milliárd, ezermillió"
possivelmente,possibly,esetleg
escadas,steps,lépések
bata,whistle,síp
memórias,memoirs,emlékezetek
óleo,oil,olaj
maneiras,ways,módokon
máquinas,machinery,gépezet
precise,accurate,pontos
saído,gone out,kiment
russo,Russian,orosz
papa,porridge,zabkása
cerimônia,ceremony,ünnepség
comunicação,communication,kommunikáció
recebe,receive,kap
animado,cheered up,felvidult
flor,flower,virág
ricky,Ricky,Ricky
urgente,urgent,sürgős
atrasada,delayed,késleltetett
ta,OK,rendben
capital,capital,főváros
can,can,tud
roy,roy,roy
sofreu,suffered,szenvedett
personagem,character,karakter
aguentar,to hold on,hogy tartsa
causou,caused,okozott
nesses,in these,ezekben
quieta,quotation,Idézet
segue,he follows,követ
amam,love,szerelem
ponta,tip,tipp
fresco,fresh,friss
corrente,chain,lánc
tranquilo,quiet,csendes
casados,married,házas
porto,harbor,kikötő
piano,piano,zongora
el,El,Elutazó
discussão,discussion,vita
separar,to separate,elválasztani
west,West,nyugat
vincent,Vincent,Vincent
suco,juice,gyümölcslé
ratos,rats,patkányok
chloe,chloe,chloe
nascer,to be born,megszületni
ficarão,will be,lesz
incomodar,to disturb,zavarni
lenda,legend,legenda
pênis,penis,hímvessző
afastar,to move away,elköltözni
vendeu,sold,eladott
brinde,gift,ajándék
abençoe,Bless,Áldja
ficha,token,jelképes
forem,they are,ők
absurdo,absurd,abszurd
continuem,Continue,Folytatni
capa,cover,borító
mataria,kill,megöl
nasci,I was born,születtem
filhas,daughters,lányai
anterior,previous,előző
tina,tina,tina
pública,public,nyilvános
construção,construction,Építkezés
incidente,incident,incidens
levanta,lifting,emelés
traidor,traitor,áruló
vinha,came,jött
escrevendo,writing,írás
alcançar,to reach,elérni
trabalhos,works,művek
l,L,L
hannah,Hannah,Hannah
marie,Marie,Marie
capacidade,capacity,kapacitás
respondeu,he responded,válaszolt
preparando,preparing,előkészítés
face,face,arc
saíram,left,bal
escapou,escaped,elmenekült
criminosos,criminals,bűnözők
helicóptero,helicopter,helikopter
suspeita,suspicion,gyanú
doido,insane,őrült
puro,pure,tiszta
janelas,window,ablak
continuo,continuous,folyamatos
times,teams,csapatok
gastar,to spend,költeni
vendendo,selling,eladási
coroa,crown,korona
suportar,to support,támogatni
falsa,fake,hamisítvány
gangue,gang,banda
fãs,fans,rajongók
valer,worth,érdemes
amado,loved,szeretett
estudos,studies,tanulmányok
botas,boots,csizma
turno,shift,váltás
negativo,negative,negatív
criaturas,creature,teremtmény
parei,I stopped,abbahagytam
charlotte,Charlotte,Charlotte
oliver,Oliver,Oliver
boston,boston,Boston
profundo,deep,mély
desça,come down,lejön
civil,civil,civil
dissesse,say,mond
cumprir,to fulfill,teljesít
cobrir,to cover,beborítani
título,title,cím
exames,tests,tesztek
sabíamos,We knew,Tudtuk
galinha,hen,tyúk
atravessar,pass through,átmegy
bonitas,beautifuls,gyönyörűek
podes,you can,tudsz
péssima,bad,rossz
campos,fields,mezők
ooh,OOH,Ó
ocorreu,occurred,megtörtént
pretende,intends,szándékozik
reconhece,recognize,elismerik
geração,generation,generáció
bíblia,Bible,Biblia
man,man,Férfi
comi,I ate,ettem
adultos,adults,felnőttek
trabalham,work,munka
quinta,fifth,ötödik
estranhas,Weird,Furcsa
cargo,office,hivatal
custódia,custody,őrizet
derrubar,to tear down,hogy leromboljon
trabalhamos,We work,Dolgozunk
império,empire,Birodalom
kenny,Kenny,Kenny
recursos,resources,erőforrások
tema,theme,téma
mortal,mortal,halandó
souber,know,tud
atirador,shooter,vadász
sós,SOS,SOS
túnel,tunnel,alagút
maluca,crazy,őrült
vira,will come,jönni fog
retirar,to remove,eltávolítani
terminado,finished,befejezett
montar,to assemble,összegyűlni
chamas,flames,Lángok
trato,tract,traktus
inclusive,including,beleértve
amostra,sample,minta
maus,bad,rossz
ansioso,anxious,aggódó
chegada,arrival,érkezés
potencial,potential,lehetséges
abraço,hug,Ölelés
ovo,egg,tojás
batatas,potatoes,krumpli
multidão,crowd,tömeg
descubra,find it out,Találd ki
esquina,corner,sarok
pastor,Shepherd,Pásztor
positivo,positive,pozitív
acordei,I woke up,felkeltem
retornar,turn back,fordulj vissza
ensino,teaching,tanítás
caridade,charity,adomány
aproveite,enjoy,Élvezd
haviam,there,ott
curioso,curious,kíváncsi
vigilância,surveillance,felügyelet
grupos,groups,csoportok
companheiros,companions,társaik
interromper,interrupt,megszakít
matemática,mathematics,matematika
iam,AI,AI
engraçada,funny,vicces
lou,Lou,Lukt
guarde,guard,őr
experimentar,to experiment,kísérletezni
destruição,undoing,visszavonás
instruções,instructions,utasítás
nina,Nina,Nina
técnica,technique,technika
cidades,cities,városok
repetir,repeat,ismétlés
bateria,battery,akkumulátor
japão,Japan,Japán
concorda,agree,egyetért
militares,military,katonai
sinceramente,sincerely,Tisztelettel
eva,Eve,Előeste
imperador,emperor,császár
cole,cole,kelkáposzta
culpar,to blame,hibáztatni
barba,beard,szakáll
artistas,artists,művészek
oscar,Oscar,Oscar
h,H,H
inocentes,innocent,ártatlan
localização,location,elhelyezkedés
andou,ride,lovagol
mortes,death,halál
osso,bone,csont
adorar,to worship,imádni
significado,meaning,értelem
continuam,continue,folytatni
jeremy,Jeremy,Jeremy
pecado,sin,bűn
site,site,webhely
ombro,shoulder,váll
progresso,progress,előrehalad
rota,route,útvonal
resolvido,sorted out,kiválogatott
frankie,Frankie,Frankie
todd,Todd,Todd
desaparecido,missing,hiányzó
personalidade,personality,személyiség
vc,you,te
acertou,hit,találat
cooper,Cooper,Kádár
recebendo,receiving,fogadó
acabando,ending,befejező
levarei,I will take,Elviszem
turma,class,osztály
casey,Casey,Casey
relaxa,Relax,Ellazul
mudaram,changed,megváltozott
recebemos,we received,megkaptuk
libras,pounds,font
virem,come,jön
vivemos,We live,Élünk
considerando,considering,figyelembe véve
asas,wings,szárnyak
almirante,admiral,admirális
dormi,slept,aludt
sentem,feel,érez
pessoais,personal,személyes
russos,Russian,orosz
ondas,wave,hullám
considerar,consider,fontolgat
bandeira,flag,zászló
mental,mental,szellemi
destas,of these,Ezeknek a
marty,Marty,Marty
ladrões,thieves,tolvajok
plantas,plant,növény
acorda,wake up,Kelj fel
produção,production,Termelés
cientistas,scientists,tudósok
procuro,look,néz
escolhi,I chose,én választok
resistência,resistance,ellenállás
feitas,made,készült
caminhar,to walk,járni
combustível,fuel,üzemanyag
brandon,Brandon,Brandon
cabana,cabin,kabin
randy,Randy,Rázkós
esperei,I waited,vártam
atual,current,jelenlegi
miller,Miller,Molnár
limpeza,cleaning,tisztítás
prata,silver,ezüst
durar,last,utolsó
abandonar,to abandon,hogy hagyjon
foda,fuck,baszd
graus,degrees,fokok
invasão,invasion,invázió
pagando,paying,fizető
promotor,district Attorney,kerületi ügyész
nate,nate,nate
atrasar,delay,késleltetés
dispositivo,device,eszköz
feia,ugly,csúnya
confirmar,Confirm,megerősít
esquerdo,left,bal
caçar,to hunt,vadászni
internacional,International,Nemzetközi
escreve,he writes,ír
assassinatos,murder,gyilkosság
wilson,Wilson,Wilson
canta,sample,minta
desejos,wishes,kívánságok
falaram,they said,azt mondták
religião,religion,vallás
concordar,to agree,megegyezni
jess,Jess,Jess
durma,sleep,alvás
steven,Steven,István
refeição,snack,falatozás
cartões,cards,kártyás kártyák
centavos,cents,cent
gostosa,delicious,finom
davis,Davis,Davis
condenado,condemned,elítélt
palhaço,clown,bohóc
emoções,emotions,érzelmek
tanque,tank,tartály
acordou,he remembered,ő emlékezett
sentada,sitting,ülés
ficasse,stay,marad
compreendo,I understand,Megértem
nascimento,birth,születés
subindo,going up,megy fel
cabelos,hair,haj
beth,Beth,Buta
ataques,attacks,támadások
ó,O,O
calar,silence,csend
heroína,heroin,heroin
albert,albert,Albert
aventura,adventure,kaland
poderosa,powerful,erős
nobre,noble,nemes
almas,souls,lelkek
acontecem,happen,történik
traiu,betrayed,elárult
assustou,scared,megrémült
biscoitos,cookies,sütik
responde,responds,válaszol
chegarmos,come,jön
aceite,acceptance,elfogadás
egoísta,selfish,önző
guerreiro,warrior,harcos
imunidade,Immunity,Immunitás
puxar,to pull,húzni
angela,Angela,Angela
chegará,reach,elér
devolva,give it back,Add vissza
dupla,pair,pár
estudantes,students,diákok
demônios,Devils,Ördögök
iriam,would,lenne
rússia,Russia,Oroszország
judeu,Jewish,zsidó
piadas,jokes,viccek
meter,enclose,mellékel
comercial,commercial,kereskedelmi
privada,toilet,WC
street,street,utca
robô,robot,robot
itália,Italy,Olaszország
moeda,coin,érme
letra,letter,levél
eventos,events,események
solitário,lonely,magányos
cadáver,corpse,hulla
tenhamos,let's have,legyen
começam,start,Rajt
boneca,doll,baba
encarar,to stare,bámulni
mude,change it,változtasd meg
gostamos,We like,Szeretjük
aviões,planes,sík
lealdade,loyalty,hűség
harvey,Harvey,Harci
black,Black,Fekete
sensível,sensitive,érzékeny
dançando,dancing,tánc
câmbio,exchange,csere
cortou,Corted,Kapaszkodott
vier,come,jön
entretanto,nonetheless,ennek ellenére
anúncio,announcement,közlemény
vazia,empty,üres
keith,Keith,Keith
calça,pants,nadrág
entendem,They understand,Értik
círculo,circle,kör
envolver,to involve,bevonni
confissão,confession,gyónás
respiração,breathing,lélegző
concentrar,to concentrate,koncentrálni
procuramos,We are looking for,Keresünk
enviado,sent,küldött
corajoso,brave,bátor
sapato,shoe,cipő
exterior,outer,külső
ian,Ian,Ian
seção,section,szakasz
comitê,committee,bizottság
correu,ran,futott
catherine,catherine,Catherine
rica,rich,gazdag
pudéssemos,we could,tudnánk
jessica,Jessica,Jessica
contado,told,mondta
satisfeito,satisfied,elégedett
abram,abram,Ábrám
chinês,Chinese,kínai
perigosa,dangerous,veszélyes
tinta,ink,tinta
pistas,track,nyomon követni
ferrar,screw over,átver
normais,normal,Normál
tivéssemos,we had,nekünk volt
salva,lifeline,mentőkötél
frota,fleet,flotta
monstros,monsters,szörnyek
prazo,term,kifejezés
frase,phrase,kifejezés
permanecer,stay,marad
decente,decent,megfelelő
marcar,to mark,megjelölni
saio,saio,Saio
pausa,break,szünet
creme,cream,krém
convidar,to invite,meghívni
roubando,stealing,lopás
decide,decide,döntsd el
encher,to fill,kitölteni
importaria,would matter,számítana
quarta,fourth,negyedik
novidade,news,hírek
virão,turn it,fordítsa meg
jennifer,Jennifer,Jennifer
gatos,cats,macskák
pratos,dishes,edények
visual,visual,vizuális
brad,brad,fejnélküli
ofereceu,offered,felajánlott
espetáculo,Show,Előadás
expressão,expression,kifejezés
gostoso,tasty,ízletes
lata,tin,ón
receita,revenue,bevétel
colocado,placed,elhelyezett
lindas,beautiful,gyönyörű
adulto,adult,felnőtt
ótimos,great,nagy
impostos,taxes,adók
despedida,farewell,búcsú
cinto,belt,öv
usamos,We use,Használjuk
heróis,heroes,hősök
tênis,tennis,tenisz
estiverem,are,vannak
menti,Menti,Elmélkedés
oxigênio,oxygen,oxigén
traição,betrayal,árulás
demorou,delayed,késleltetett
sophie,sophie,Sophie
grant,Grant,Támogatás
destruiu,destroyed,elpusztult
eliminar,to eliminate,hogy megszüntesse
princípio,principle,elv
emoção,emotion,érzelem
oficialmente,officially,hivatalosan
sistemas,systems,rendszer
caverna,cave,barlang
acreditamos,We believe,Hisszük
ambas,both,mindkét
vaga,vacancy,üresedés
feitiço,spell,varázslat
impacto,impact,hatás
produto,product,termék
golfe,golf,golf
one,One,Egy
faltando,missing,hiányzó
bêbada,drunk,részeg
gravação,recording,felvétel
estratégia,strategy,stratégia
cometer,commit,elkövetni
jean,Jean,Farmer
